Category: All categories

Region,Obsessive compulsive personality disorder: (2008)
Hawaii,
Delaware,
West Virginia,
South Dakota,
Nebraska,
Montana,
New Hampshire,
Idaho,
Iowa,
Connecticut,
Oklahoma,
Louisiana,
Maryland,100
Massachusetts,92
Michigan,92
Indiana,92
Utah,
Washington,84
Texas,84
Kansas,
Alabama,
Missouri,69
Colorado,61
Arizona,61
California,53
New Jersey,53
Wisconsin,53
Florida,53
Pennsylvania,46
District of Columbia,
North Carolina,46
Virginia,46
Georgia,38
New York,38
Oregon,
Ohio,38
Illinois,30
Alaska,
Arkansas,
Kentucky,
Maine,
Minnesota,
Mississippi,
North Dakota,
New Mexico,
Nevada,
Rhode Island,
South Carolina,
Tennessee,
Vermont,
Wyoming,
