Category: All categories

Region,Obsessive compulsive personality disorder: (2012)
Idaho,
Rhode Island,
Maine,
Mississippi,
Montana,
Nebraska,
Oregon,
Arkansas,
Wisconsin,100
South Dakota,
New Mexico,
North Dakota,
Alabama,
Utah,
Indiana,83
Alaska,
Kentucky,
North Carolina,75
Ohio,66
Pennsylvania,66
South Carolina,
Maryland,58
Connecticut,
West Virginia,
Michigan,58
New Jersey,58
Massachusetts,58
Nevada,
Washington,58
Kansas,
Illinois,50
Missouri,50
Arizona,50
New York,50
California,50
Oklahoma,
Minnesota,50
Virginia,50
Florida,50
Texas,41
Georgia,41
Tennessee,
Louisiana,
District of Columbia,
Colorado,16
Delaware,
Hawaii,
Iowa,
New Hampshire,
Vermont,
Wyoming,
