Category: All categories

Region,Obsessive compulsive personality disorder: (2007)
West Virginia,
Maine,
New Mexico,
Rhode Island,
Missouri,100
Oregon,
Wisconsin,92
Oklahoma,
District of Columbia,
Kentucky,
Maryland,85
Washington,78
Tennessee,
Michigan,71
Nevada,
Ohio,71
Illinois,64
Alabama,
North Carolina,57
Massachusetts,57
Indiana,50
Pennsylvania,50
Texas,50
Arizona,42
Minnesota,35
New York,35
California,35
Florida,28
Colorado,28
Georgia,28
Alaska,
Arkansas,
Connecticut,
Delaware,
Hawaii,
Iowa,
Idaho,
Kansas,
Louisiana,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
South Carolina,
South Dakota,
Utah,
Virginia,
Vermont,
Wyoming,
