Category: All categories

Region,hell: (2013)
Mississippi,100
Montana,97
Kentucky,92
West Virginia,91
Ohio,91
Louisiana,89
Oklahoma,88
Missouri,87
South Carolina,86
Wyoming,84
Tennessee,84
Kansas,83
Alaska,83
North Carolina,83
South Dakota,83
Alabama,82
North Dakota,82
Indiana,81
Pennsylvania,81
Arkansas,81
Texas,80
Virginia,79
Georgia,78
Vermont,78
Idaho,78
Arizona,77
Iowa,76
Michigan,76
Minnesota,76
Utah,76
Maine,75
New Mexico,74
Delaware,73
Wisconsin,73
Washington,72
California,72
Nevada,71
Connecticut,71
Illinois,71
Maryland,70
Colorado,70
Nebraska,70
New Jersey,70
Rhode Island,70
New Hampshire,69
Massachusetts,68
New York,68
Florida,67
District of Columbia,61
Oregon,60
Hawaii,57
