Category: All categories

Region,hell: (2021)
Mississippi,100
West Virginia,100
Kentucky,99
Kansas,98
Arkansas,97
Wyoming,96
Oklahoma,96
Tennessee,95
Ohio,94
Alaska,93
Utah,93
Montana,93
Michigan,92
Indiana,92
Missouri,92
South Dakota,90
Iowa,89
Colorado,88
Alabama,87
Oregon,87
Illinois,87
North Dakota,86
Pennsylvania,86
Georgia,86
Vermont,86
Maryland,85
Arizona,84
New Mexico,84
Washington,83
North Carolina,83
Nebraska,83
Minnesota,83
California,82
Louisiana,82
Idaho,82
Nevada,81
Texas,81
Maine,81
Virginia,79
Wisconsin,78
Delaware,77
Florida,76
Rhode Island,76
Massachusetts,75
South Carolina,72
New Jersey,70
New Hampshire,70
New York,68
Connecticut,68
District of Columbia,67
Hawaii,63
