Category: All categories

Region,hell: (2015)
Montana,100
Tennessee,100
Louisiana,98
West Virginia,97
Alabama,97
Mississippi,96
Kentucky,94
Wyoming,92
Arkansas,92
South Carolina,91
Missouri,91
North Dakota,91
Michigan,90
Nevada,90
North Carolina,89
Ohio,89
Indiana,88
Georgia,88
Oklahoma,87
Texas,85
Alaska,85
Pennsylvania,85
Vermont,84
Utah,84
South Dakota,81
Nebraska,81
Wisconsin,81
Illinois,81
Idaho,80
Iowa,80
Kansas,80
Arizona,80
Florida,79
New York,79
Colorado,79
Washington,79
Maine,76
New Jersey,75
California,75
New Mexico,74
Rhode Island,74
Minnesota,74
Delaware,73
Maryland,73
Massachusetts,73
District of Columbia,72
New Hampshire,71
Connecticut,66
Oregon,65
Virginia,61
Hawaii,58
