Category: All categories

Region,hell: (2011)
West Virginia,100
Ohio,97
Montana,93
Kentucky,92
Rhode Island,90
South Dakota,89
Oklahoma,89
Wyoming,88
Indiana,87
Michigan,87
Pennsylvania,87
North Dakota,86
Alabama,85
Tennessee,85
Kansas,85
Oregon,83
Virginia,82
Texas,82
North Carolina,82
Maine,81
Missouri,80
New Jersey,80
Iowa,80
Louisiana,80
Connecticut,80
Arkansas,79
Maryland,79
Delaware,79
Wisconsin,78
New Mexico,78
Massachusetts,78
South Carolina,77
Mississippi,77
Idaho,76
Washington,75
New Hampshire,74
Utah,74
New York,73
Colorado,73
Illinois,72
Vermont,72
Alaska,72
Minnesota,71
California,71
Arizona,70
Georgia,70
Nebraska,69
Nevada,68
Florida,67
District of Columbia,65
Hawaii,64
