Category: All categories

Region,hell: (2012)
West Virginia,100
Kentucky,95
Montana,94
Indiana,92
Wyoming,91
Oklahoma,91
Virginia,90
Alabama,90
Ohio,90
Tennessee,86
Kansas,86
Oregon,86
Vermont,85
North Dakota,85
Michigan,84
Arkansas,84
Arizona,83
Missouri,82
Alaska,82
Washington,82
Pennsylvania,82
North Carolina,82
South Carolina,81
South Dakota,81
Maine,80
New Mexico,79
Georgia,79
Louisiana,79
Utah,79
Wisconsin,79
Delaware,78
Texas,78
Idaho,77
California,77
Mississippi,77
Nevada,77
Colorado,76
Iowa,76
New Jersey,76
Rhode Island,76
Illinois,76
Minnesota,75
New Hampshire,75
Florida,74
New York,73
Maryland,73
Massachusetts,72
Nebraska,71
Connecticut,69
District of Columbia,68
Hawaii,64
