Category: All categories

Region,Dependent personality: (2015)
New Hampshire,
Rhode Island,
West Virginia,
South Dakota,
Arkansas,
Wisconsin,100
Maine,
Indiana,87
Wyoming,
South Carolina,87
Connecticut,81
Missouri,81
Delaware,
Colorado,75
Minnesota,75
Hawaii,
Ohio,68
Nebraska,
North Carolina,62
Maryland,62
Massachusetts,62
New Jersey,62
Kansas,
Montana,
Illinois,62
Kentucky,56
Alabama,
Pennsylvania,56
Washington,56
Louisiana,50
Michigan,50
Alaska,
Oregon,
Iowa,
Oklahoma,
Arizona,43
Georgia,43
California,43
New York,43
Florida,43
Mississippi,
Tennessee,43
Nevada,
Texas,37
Virginia,25
Utah,
District of Columbia,
Idaho,
North Dakota,
New Mexico,
Vermont,
