Category: All categories

Region,Bullying: (2015)
South Dakota,100
Arkansas,99
Iowa,91
Hawaii,86
Mississippi,86
New Jersey,85
Rhode Island,84
Indiana,84
West Virginia,81
Wyoming,81
Connecticut,80
Delaware,77
Vermont,76
Maine,75
Idaho,73
Michigan,73
Wisconsin,73
Nebraska,73
New Mexico,73
Nevada,72
North Carolina,72
Alabama,71
Louisiana,69
Kentucky,68
Kansas,68
Ohio,68
North Dakota,68
New Hampshire,67
Illinois,64
South Carolina,64
Pennsylvania,64
Maryland,64
California,64
Texas,63
Montana,63
Minnesota,62
New York,61
Missouri,61
Utah,59
Massachusetts,57
Colorado,57
Alaska,56
Florida,56
Oklahoma,55
Arizona,53
Georgia,50
Tennessee,50
Washington,45
Oregon,44
District of Columbia,41
Virginia,38
