Category: All categories

Region,Bullying: (2021)
Mississippi,100
West Virginia,97
Maryland,96
Louisiana,93
Hawaii,90
Texas,90
New York,89
District of Columbia,87
North Dakota,86
Kansas,84
New Mexico,84
Arkansas,83
Florida,81
New Jersey,81
Arizona,81
Connecticut,81
Massachusetts,80
South Carolina,80
Idaho,80
Virginia,79
Kentucky,79
California,78
Iowa,78
New Hampshire,78
Nevada,77
Rhode Island,76
Nebraska,75
Oklahoma,75
Delaware,74
Alaska,74
Utah,74
Minnesota,73
South Dakota,73
Maine,73
Washington,73
Montana,72
North Carolina,72
Alabama,72
Georgia,71
Tennessee,71
Indiana,71
Missouri,71
Oregon,70
Michigan,69
Wisconsin,68
Ohio,67
Vermont,67
Illinois,67
Pennsylvania,65
Colorado,62
Wyoming,62
