Category: All categories

Region,Bullying: (2007)
Vermont,100
Iowa,90
West Virginia,74
Maine,73
Delaware,67
North Dakota,66
Nebraska,63
Indiana,61
Kentucky,60
Arkansas,52
Connecticut,52
Kansas,51
Wyoming,49
Montana,48
Pennsylvania,48
New Hampshire,46
New Jersey,45
South Dakota,45
New Mexico,44
Hawaii,44
Alaska,44
Ohio,43
Idaho,43
Michigan,42
Wisconsin,42
Rhode Island,40
Massachusetts,38
New York,38
Missouri,38
Illinois,37
District of Columbia,37
Minnesota,35
Washington,34
Maryland,32
South Carolina,31
Utah,31
Alabama,31
Arizona,31
Virginia,30
Oklahoma,29
Nevada,29
Mississippi,28
Georgia,28
North Carolina,27
Florida,26
Tennessee,25
Louisiana,25
Oregon,24
Colorado,22
Texas,22
California,18
