Category: All categories

Region,Bullying: (2005)
Maine,100
Iowa,98
Arkansas,86
Indiana,85
Kentucky,82
Alaska,80
Connecticut,75
South Dakota,75
Montana,69
North Dakota,69
New Jersey,65
Wisconsin,64
Rhode Island,63
Nebraska,61
West Virginia,61
Vermont,60
Delaware,57
Minnesota,57
Pennsylvania,56
New Hampshire,56
Idaho,55
Michigan,54
Ohio,54
Kansas,53
Illinois,51
Missouri,48
New York,47
Oklahoma,46
New Mexico,45
Mississippi,44
Alabama,44
Arizona,43
Hawaii,42
Virginia,42
Massachusetts,42
District of Columbia,40
Tennessee,39
North Carolina,38
Colorado,37
Maryland,37
Utah,33
Georgia,33
Washington,32
Florida,29
Texas,29
Oregon,28
California,24
South Carolina,22
Nevada,9
Louisiana,
Wyoming,
