Category: All categories

Region,Bullying: (2013)
West Virginia,100
South Dakota,99
Wyoming,96
Iowa,94
Arkansas,93
Nebraska,83
Indiana,83
New Jersey,83
Maine,80
North Dakota,79
Delaware,78
Wisconsin,78
New Hampshire,77
Idaho,75
Vermont,73
Hawaii,72
Alabama,72
Mississippi,72
Michigan,70
Ohio,70
Pennsylvania,70
South Carolina,69
New Mexico,68
Rhode Island,68
Kentucky,68
North Carolina,68
Connecticut,67
Montana,66
Kansas,62
New York,62
Texas,61
Maryland,61
Nevada,61
Illinois,60
Oklahoma,58
Utah,58
Arizona,57
Louisiana,57
Massachusetts,56
Virginia,56
California,56
Minnesota,55
Florida,54
Missouri,53
Tennessee,52
Alaska,52
Georgia,51
Colorado,49
Washington,43
Oregon,43
District of Columbia,41
