Category: All categories

Region,coming out: (2015)
West Virginia,100
Wyoming,97
South Carolina,93
Texas,91
Georgia,88
North Dakota,88
Utah,87
Tennessee,87
Mississippi,87
New Jersey,86
Kentucky,85
Michigan,85
New York,84
Arizona,83
Missouri,83
Arkansas,83
Rhode Island,83
North Carolina,82
Idaho,82
Oklahoma,82
Delaware,82
Pennsylvania,82
South Dakota,82
Montana,81
Illinois,81
Florida,80
Wisconsin,80
Louisiana,79
Indiana,79
New Mexico,79
Nevada,78
Maine,78
Alabama,77
Minnesota,77
Iowa,76
Nebraska,75
Alaska,75
Ohio,75
New Hampshire,75
Maryland,75
California,75
Colorado,73
District of Columbia,72
Massachusetts,72
Vermont,71
Connecticut,70
Hawaii,70
Washington,70
Kansas,63
Virginia,55
Oregon,52
