Category: All categories

Region,coming out: (2007)
Mississippi,100
Kentucky,94
Nebraska,83
Louisiana,82
West Virginia,82
South Carolina,82
Michigan,81
Alabama,79
South Dakota,78
Connecticut,78
Utah,77
Indiana,76
New Jersey,76
Tennessee,75
New Mexico,75
Iowa,75
Idaho,74
North Carolina,74
Florida,74
Pennsylvania,73
Rhode Island,73
Nevada,73
New York,70
Arkansas,70
Missouri,70
Wisconsin,69
Massachusetts,69
New Hampshire,68
Ohio,67
Maryland,67
Illinois,66
Georgia,65
Texas,65
Maine,65
Arizona,64
District of Columbia,64
Wyoming,62
Alaska,62
Virginia,61
Minnesota,60
North Dakota,60
Oklahoma,60
Kansas,56
Washington,56
California,55
Oregon,54
Hawaii,54
Delaware,54
Colorado,52
Vermont,49
Montana,42
