Category: All categories

Region,coming out: (2018)
Arkansas,100
Utah,96
Mississippi,92
Indiana,89
Kentucky,89
Alabama,88
Oklahoma,87
Louisiana,86
Texas,86
Tennessee,86
South Carolina,85
Florida,85
Michigan,85
Pennsylvania,84
Illinois,84
Ohio,84
Kansas,84
Iowa,84
Missouri,83
Georgia,83
West Virginia,82
North Carolina,81
Wyoming,80
Rhode Island,79
Connecticut,79
New Jersey,78
Delaware,78
Nevada,78
California,77
Idaho,76
Arizona,75
Maryland,75
North Dakota,75
Minnesota,75
New York,74
Maine,74
Wisconsin,73
Massachusetts,73
Vermont,73
Virginia,72
Montana,72
Colorado,71
Nebraska,71
South Dakota,71
New Mexico,70
Washington,69
Alaska,68
Oregon,67
New Hampshire,66
Hawaii,59
District of Columbia,50
