Category: All categories

Region,im stupid: (2020)
Alaska,
Nebraska,
Rhode Island,
Indiana,100
North Dakota,
Nevada,91
Wyoming,
Maine,
Arizona,82
Kansas,82
Pennsylvania,82
Missouri,82
Michigan,82
Minnesota,82
Illinois,78
New Mexico,
Montana,
New Hampshire,
South Dakota,
Ohio,73
Utah,73
Massachusetts,73
Oklahoma,73
New Jersey,73
Hawaii,
North Carolina,73
California,73
Texas,69
Maryland,69
Louisiana,69
Connecticut,69
Iowa,69
Virginia,69
Oregon,65
New York,65
South Carolina,60
West Virginia,
Georgia,60
Arkansas,60
Washington,60
Colorado,60
Delaware,
Wisconsin,60
Florida,56
Tennessee,56
District of Columbia,
Kentucky,56
Alabama,52
Mississippi,47
Idaho,
Vermont,
