Category: All categories

Region,im stupid: (2019)
South Dakota,
Maine,
Wyoming,
West Virginia,
Kansas,100
North Dakota,
Idaho,
Iowa,92
Indiana,88
Nebraska,
Oklahoma,88
Utah,84
Nevada,84
Ohio,80
Arizona,80
Louisiana,80
Missouri,80
New Jersey,80
Minnesota,80
Virginia,76
North Carolina,76
Pennsylvania,76
Connecticut,76
South Carolina,76
Oregon,76
Georgia,72
Colorado,72
Massachusetts,72
Hawaii,
Washington,72
Illinois,72
Wisconsin,68
Texas,68
Mississippi,68
Michigan,68
California,68
Alabama,64
Maryland,64
Florida,64
Tennessee,64
Alaska,
New Mexico,
Arkansas,60
New York,60
Kentucky,56
Rhode Island,
Vermont,
District of Columbia,
Delaware,
Montana,
New Hampshire,
