Category: All categories

Region,im stupid: (2013)
Wyoming,
North Dakota,
South Dakota,
Arkansas,100
Alabama,95
Idaho,
Mississippi,90
Maine,
Illinois,85
Vermont,
Arizona,80
Ohio,80
Georgia,80
Louisiana,80
Texas,80
Kentucky,80
Florida,80
New Jersey,80
Tennessee,75
Utah,75
California,75
Oklahoma,75
Indiana,75
Nevada,75
New Hampshire,
Virginia,75
North Carolina,75
Iowa,75
District of Columbia,
Michigan,70
New York,70
Missouri,70
Massachusetts,70
Kansas,65
Minnesota,65
Pennsylvania,65
Wisconsin,65
Maryland,60
Washington,60
Hawaii,
Colorado,60
New Mexico,
Nebraska,
South Carolina,50
Oregon,50
Montana,
Connecticut,50
Alaska,
Rhode Island,
Delaware,
West Virginia,
