Category: All categories

Region,queer: (2017)
Vermont,100
Oregon,84
Rhode Island,71
District of Columbia,69
New York,68
Washington,67
Maine,66
California,65
Massachusetts,65
Minnesota,60
Pennsylvania,58
Connecticut,57
Illinois,55
New Hampshire,54
Maryland,54
Delaware,53
Utah,52
Colorado,50
Montana,49
Alaska,49
Indiana,47
Hawaii,46
Wisconsin,45
West Virginia,45
New Jersey,45
New Mexico,45
Missouri,45
Kentucky,44
Arizona,44
Iowa,43
Oklahoma,43
Virginia,43
Tennessee,42
Ohio,42
South Dakota,42
Nevada,42
Louisiana,42
North Carolina,41
Michigan,41
Nebraska,40
Arkansas,39
Idaho,39
Florida,38
Texas,38
Georgia,38
Kansas,37
South Carolina,37
Alabama,37
Mississippi,35
North Dakota,33
Wyoming,33
