Category: All categories

Region,queer: (2014)
Vermont,100
Maine,89
Massachusetts,78
New York,76
Washington,75
Rhode Island,74
District of Columbia,71
West Virginia,69
Connecticut,66
California,66
New Hampshire,64
Montana,64
Utah,62
Oregon,61
New Mexico,61
Ohio,59
Pennsylvania,59
Kentucky,59
Arizona,58
Arkansas,57
Maryland,56
Illinois,56
Indiana,56
Minnesota,56
Nebraska,56
New Jersey,54
Hawaii,54
Wyoming,53
Colorado,53
Missouri,53
North Carolina,53
Wisconsin,53
Idaho,52
Michigan,52
Delaware,51
Nevada,50
Iowa,50
Tennessee,49
South Dakota,49
Kansas,48
Georgia,48
Louisiana,47
Oklahoma,46
Texas,46
Alabama,45
South Carolina,43
Mississippi,42
North Dakota,42
Florida,41
Alaska,41
Virginia,41
