Category: All categories

Region,queer: (2015)
Vermont,100
Rhode Island,74
Massachusetts,74
Washington,73
New York,72
West Virginia,71
California,69
Maine,67
Oregon,66
Connecticut,62
New Hampshire,62
Idaho,61
Maryland,58
District of Columbia,58
Minnesota,58
Nevada,58
Iowa,56
Pennsylvania,54
New Jersey,53
Utah,53
North Carolina,53
Nebraska,52
Kentucky,52
New Mexico,52
Louisiana,52
Wisconsin,52
Colorado,51
Indiana,50
Ohio,50
Missouri,50
Michigan,49
Illinois,49
Tennessee,48
Mississippi,48
Arkansas,47
Alabama,46
North Dakota,46
Arizona,46
Oklahoma,44
Hawaii,44
South Carolina,44
Delaware,44
Georgia,42
Texas,42
Wyoming,42
Alaska,40
Florida,39
Kansas,37
South Dakota,36
Montana,35
Virginia,32
