Category: All categories

Region,queer: (2013)
Vermont,100
Rhode Island,88
Maine,87
New York,86
New Hampshire,81
California,81
Washington,78
Massachusetts,77
District of Columbia,76
Delaware,74
Oregon,74
Kentucky,71
Connecticut,71
Indiana,70
Pennsylvania,64
Ohio,64
Maryland,64
Nevada,63
New Mexico,62
West Virginia,62
New Jersey,61
Wisconsin,60
Louisiana,60
Iowa,59
Minnesota,58
Illinois,58
Colorado,58
Wyoming,58
Virginia,57
Michigan,56
Arizona,56
Montana,54
Alabama,54
Utah,54
Alaska,53
Missouri,53
Nebraska,52
North Carolina,52
Georgia,51
Oklahoma,50
Tennessee,50
Kansas,49
Hawaii,49
Idaho,48
Arkansas,47
Mississippi,47
South Carolina,47
Texas,45
Florida,45
South Dakota,37
North Dakota,32
