Category: All categories

Region,Suicide hotline: (2017)
Idaho,100
Alaska,90
West Virginia,87
Nevada,85
Utah,84
Wyoming,83
South Dakota,81
Maine,76
Montana,75
Iowa,74
Indiana,72
Arizona,72
Vermont,71
Michigan,70
Missouri,70
Kentucky,69
Oregon,69
Rhode Island,68
Washington,67
California,67
Ohio,67
Arkansas,67
Colorado,66
Nebraska,66
New Mexico,64
Oklahoma,62
Hawaii,62
Kansas,62
Wisconsin,62
Tennessee,61
Virginia,60
Pennsylvania,60
Maryland,58
Minnesota,58
New Hampshire,58
Connecticut,57
Delaware,55
North Dakota,55
District of Columbia,54
Illinois,54
Massachusetts,53
Alabama,52
North Carolina,52
New Jersey,51
Georgia,50
Texas,49
Mississippi,49
South Carolina,48
Louisiana,44
Florida,44
New York,42
