Category: All categories

Region,Suicide hotline: (2014)
Idaho,100
Montana,93
New Mexico,88
Utah,80
Maine,80
New Hampshire,79
Nevada,77
Colorado,76
Nebraska,75
Michigan,73
West Virginia,68
Oklahoma,67
Indiana,67
Alaska,66
Ohio,64
Vermont,64
Arizona,64
Mississippi,61
Iowa,61
North Carolina,61
Arkansas,60
Maryland,59
Missouri,59
Kansas,59
Washington,58
Hawaii,57
Tennessee,57
North Dakota,56
Pennsylvania,56
Minnesota,56
District of Columbia,56
California,56
Illinois,54
South Dakota,53
Kentucky,52
Wisconsin,52
Massachusetts,51
Texas,50
Connecticut,50
Delaware,49
Georgia,49
Florida,49
New Jersey,47
Wyoming,46
Oregon,45
New York,44
South Carolina,44
Alabama,42
Virginia,42
Louisiana,42
Rhode Island,40
