Category: All categories

Region,Suicide hotline: (2016)
Idaho,100
Utah,85
Montana,83
West Virginia,75
Indiana,73
Missouri,69
Kansas,69
Ohio,68
Washington,68
Colorado,68
Nebraska,67
Oregon,67
Wyoming,66
Iowa,66
Kentucky,65
South Dakota,65
Alaska,65
Arizona,65
Wisconsin,64
New Mexico,63
Vermont,62
Hawaii,62
Maryland,60
Oklahoma,60
New Hampshire,60
Nevada,59
Minnesota,58
Pennsylvania,58
District of Columbia,56
Michigan,56
Arkansas,56
Maine,56
Alabama,56
Tennessee,55
North Dakota,54
Connecticut,52
Illinois,52
Virginia,52
California,50
South Carolina,50
Rhode Island,49
North Carolina,48
Texas,47
Massachusetts,47
Georgia,47
New Jersey,46
Louisiana,44
New York,44
Florida,40
Delaware,34
Mississippi,33
