Category: All categories

Region,Suicide hotline: (2010)
Delaware,100
Wyoming,81
Rhode Island,52
Utah,52
New Mexico,51
Colorado,50
Mississippi,48
Tennessee,44
Ohio,43
Maine,42
Nevada,40
Arizona,39
Oregon,39
Missouri,38
Kansas,38
Indiana,37
Connecticut,37
Idaho,37
Alaska,37
Washington,36
Minnesota,34
Maryland,34
Kentucky,34
Michigan,34
South Dakota,33
Illinois,32
New Hampshire,32
Alabama,31
Massachusetts,30
Florida,29
Texas,29
New York,29
Vermont,28
Louisiana,28
Wisconsin,28
North Carolina,27
Nebraska,27
Hawaii,27
Georgia,26
New Jersey,26
Iowa,24
Oklahoma,23
District of Columbia,23
Pennsylvania,23
California,22
Virginia,18
South Carolina,16
Arkansas,11
North Dakota,
Montana,
West Virginia,
