Category: All categories

Region,Suicide hotline: (2021)
Idaho,100
Utah,91
Alaska,89
Vermont,88
Kansas,82
Wyoming,80
North Dakota,80
Oregon,77
Montana,73
Nebraska,72
Nevada,71
Colorado,71
South Dakota,70
West Virginia,70
District of Columbia,69
Oklahoma,69
New Mexico,69
Missouri,69
Washington,67
Indiana,66
Rhode Island,65
Maryland,63
Wisconsin,63
Arkansas,63
Kentucky,62
Ohio,62
Arizona,61
Iowa,60
California,60
New Hampshire,60
Minnesota,60
Michigan,59
Hawaii,58
Illinois,57
Pennsylvania,57
Tennessee,56
Virginia,55
Connecticut,53
Maine,53
Alabama,52
Georgia,52
North Carolina,52
South Carolina,50
Massachusetts,50
Texas,50
Louisiana,45
New Jersey,44
Florida,43
New York,42
Mississippi,40
Delaware,40
