Category: All categories

Region,Fitting in: (2009)
New Mexico,100
Vermont,99
South Dakota,97
Arkansas,83
Maryland,71
Oklahoma,69
Utah,69
Massachusetts,69
Connecticut,68
North Dakota,67
Illinois,67
Michigan,64
Nebraska,62
Colorado,62
New Hampshire,62
Rhode Island,60
Maine,60
North Carolina,60
South Carolina,58
Indiana,58
Missouri,57
Tennessee,56
Pennsylvania,54
Kentucky,54
District of Columbia,54
Louisiana,53
New York,52
Oregon,52
Washington,51
New Jersey,51
Texas,50
Kansas,49
Minnesota,49
Georgia,47
Florida,46
Arizona,46
Idaho,44
Hawaii,44
Iowa,42
Mississippi,40
Ohio,39
California,37
Wisconsin,35
Virginia,30
Nevada,30
Alabama,28
Alaska,
Montana,
Delaware,
West Virginia,
Wyoming,
