Category: All categories

Region,Fitting in: (2019)
North Dakota,100
Indiana,87
Mississippi,87
Delaware,86
Connecticut,85
West Virginia,84
New Hampshire,83
Iowa,80
District of Columbia,79
Michigan,79
Wisconsin,79
Vermont,79
South Carolina,78
Massachusetts,76
Rhode Island,75
Colorado,75
Kansas,74
Idaho,72
Illinois,72
Minnesota,72
Washington,72
Oregon,72
Hawaii,70
Ohio,70
Missouri,70
Arizona,69
Virginia,68
Louisiana,68
Kentucky,66
Pennsylvania,66
Tennessee,66
Alabama,66
Nevada,64
Nebraska,64
Montana,63
North Carolina,63
New Jersey,63
Maryland,62
Maine,61
Arkansas,61
Utah,61
Oklahoma,60
Florida,60
New Mexico,60
Texas,60
South Dakota,60
Georgia,59
New York,57
California,56
Alaska,
Wyoming,
