Category: All categories

Region,Fitting in: (2017)
Idaho,100
Indiana,96
Connecticut,95
Vermont,93
Kansas,90
Hawaii,90
Missouri,89
Colorado,89
New Mexico,89
Montana,87
Virginia,85
Massachusetts,84
West Virginia,84
New Hampshire,83
Michigan,83
Minnesota,83
Wisconsin,82
Arkansas,81
Utah,81
Arizona,81
Ohio,81
South Dakota,79
Maine,79
Oklahoma,78
Kentucky,78
Oregon,78
South Carolina,78
Pennsylvania,77
Tennessee,75
Nebraska,75
New Jersey,74
New York,74
Maryland,74
Mississippi,74
North Carolina,73
Rhode Island,73
District of Columbia,72
Illinois,71
Georgia,70
Alabama,70
Iowa,70
Florida,68
North Dakota,67
Delaware,67
Texas,67
Louisiana,64
California,63
Nevada,61
Washington,60
Alaska,
Wyoming,
