Category: All categories

Region,Fitting in: (2012)
Iowa,100
Missouri,90
Montana,82
Arkansas,81
Nebraska,80
Massachusetts,79
Connecticut,79
New Hampshire,77
Colorado,77
Kansas,76
New Mexico,75
Alabama,73
Delaware,72
Oklahoma,70
Maine,70
Mississippi,70
Indiana,69
Virginia,69
Arizona,69
Wisconsin,68
South Carolina,67
North Dakota,67
Minnesota,66
Tennessee,66
Michigan,66
Ohio,65
New Jersey,65
Illinois,65
North Carolina,62
Pennsylvania,62
Maryland,61
Oregon,61
Washington,57
Nevada,57
Georgia,56
Idaho,56
Louisiana,56
California,56
District of Columbia,55
New York,52
Utah,52
Texas,51
Florida,50
Hawaii,49
Kentucky,47
West Virginia,47
Vermont,39
Rhode Island,29
South Dakota,28
Wyoming,
Alaska,
