Category: All categories

Region,Fitting in: (2018)
Vermont,100
Maine,71
New Hampshire,69
Iowa,65
New Mexico,63
Montana,62
Oklahoma,62
North Dakota,62
Wisconsin,60
Minnesota,59
Indiana,58
Arkansas,58
Washington,58
Pennsylvania,58
Louisiana,57
Michigan,57
Massachusetts,57
Mississippi,57
Kentucky,57
Rhode Island,57
Colorado,56
Delaware,56
Alabama,56
Oregon,55
Virginia,55
Kansas,54
Illinois,54
Tennessee,54
North Carolina,54
Utah,53
Ohio,53
Arizona,53
Missouri,53
Maryland,53
New York,53
Connecticut,52
South Carolina,52
Nevada,50
Hawaii,49
South Dakota,49
West Virginia,49
District of Columbia,48
Texas,48
Georgia,47
New Jersey,47
Florida,46
Idaho,46
California,45
Nebraska,37
Wyoming,
Alaska,
