Category: All categories

Region,Fitting in: (2005)
Montana,100
Arkansas,98
Oklahoma,83
Kansas,75
New Hampshire,59
Kentucky,58
Louisiana,56
Indiana,49
Nevada,46
Nebraska,45
Rhode Island,45
Massachusetts,43
Minnesota,39
Colorado,39
Michigan,35
Pennsylvania,34
Ohio,31
Tennessee,31
New Jersey,27
Texas,27
Washington,26
Oregon,25
South Carolina,25
Utah,24
Arizona,23
California,23
Florida,22
Missouri,21
Connecticut,21
North Carolina,18
New York,17
Georgia,17
Wisconsin,13
Virginia,13
Illinois,11
Alaska,
Mississippi,
New Mexico,
North Dakota,
Maine,
Maryland,
South Dakota,
Idaho,
Iowa,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Alabama,
West Virginia,
Wyoming,
