Category: All categories

Region,suicide: (2009)
Vermont,100
Wyoming,97
Pennsylvania,95
South Dakota,95
Delaware,95
Rhode Island,93
Michigan,91
Alaska,91
New York,90
New Mexico,90
North Dakota,89
Ohio,89
West Virginia,89
New Hampshire,88
Idaho,86
Nevada,86
Arizona,86
Maine,86
Kentucky,85
Washington,85
Oregon,84
Massachusetts,83
Montana,83
Mississippi,82
Kansas,82
Indiana,81
Missouri,80
New Jersey,80
Utah,80
Colorado,80
Illinois,79
Maryland,79
Texas,78
Oklahoma,78
Arkansas,78
Nebraska,77
Iowa,77
North Carolina,77
Connecticut,77
Georgia,76
Louisiana,76
Tennessee,75
District of Columbia,74
Alabama,74
Hawaii,74
Wisconsin,73
Florida,73
South Carolina,72
California,69
Minnesota,67
Virginia,51
