Category: All categories

Region,Self harm: (2016)
Vermont,100
New Hampshire,89
West Virginia,88
Wyoming,80
Idaho,79
Maine,76
Kentucky,73
New Mexico,72
Montana,71
Utah,71
Iowa,69
Arkansas,68
Indiana,66
Oklahoma,65
Wisconsin,64
South Dakota,61
Nebraska,60
Pennsylvania,59
Minnesota,59
Missouri,59
Oregon,58
Michigan,56
Ohio,56
Kansas,56
Rhode Island,54
South Carolina,54
Colorado,53
Alaska,53
Connecticut,52
Massachusetts,52
Alabama,51
Illinois,51
Washington,50
Tennessee,50
Arizona,49
North Dakota,49
Louisiana,48
North Carolina,47
Virginia,46
Nevada,46
Maryland,45
New Jersey,44
Hawaii,43
Texas,39
New York,39
Mississippi,39
Georgia,39
Florida,38
Delaware,37
California,35
District of Columbia,34
