Category: All categories

Region,Self harm: (2019)
Vermont,100
Wyoming,96
South Dakota,82
West Virginia,81
Maine,80
Utah,75
Montana,74
Idaho,72
Nebraska,72
New Hampshire,72
Oregon,70
Iowa,70
Indiana,70
Minnesota,69
Kentucky,68
North Dakota,67
Missouri,65
Oklahoma,65
Washington,64
Arkansas,63
Wisconsin,62
Kansas,62
Colorado,61
Tennessee,59
Arizona,57
New Mexico,57
Alabama,57
Virginia,56
Massachusetts,56
Maryland,56
Michigan,56
Illinois,56
Alaska,55
Rhode Island,55
Nevada,54
Ohio,54
Delaware,54
Connecticut,53
North Carolina,53
Pennsylvania,52
Hawaii,46
Texas,45
South Carolina,45
New York,45
Louisiana,43
Mississippi,43
Georgia,43
New Jersey,43
California,42
Florida,39
District of Columbia,32
