Category: All categories

Region,Self harm: (2007)
Vermont,100
Montana,47
West Virginia,36
Rhode Island,33
Nebraska,23
Wyoming,22
Maine,15
Iowa,13
Connecticut,12
Kansas,12
Arkansas,12
Kentucky,10
Missouri,10
Tennessee,9
Pennsylvania,8
Alabama,8
Mississippi,7
Ohio,6
Maryland,6
Massachusetts,6
Washington,6
New York,6
Michigan,6
North Carolina,6
Wisconsin,6
Florida,5
Colorado,4
Texas,4
Minnesota,4
Oregon,4
New Jersey,4
Georgia,3
California,3
Illinois,3
Virginia,3
District of Columbia,2
Arizona,2
Indiana,
Delaware,
Oklahoma,
South Carolina,
South Dakota,
Nevada,
New Mexico,
Utah,
New Hampshire,
North Dakota,
Hawaii,
Idaho,
Louisiana,
Alaska,
