Category: All categories

Region,Self harm: (2006)
West Virginia,100
North Dakota,80
Vermont,79
Idaho,70
Arkansas,54
South Carolina,43
Rhode Island,41
Kentucky,40
Wisconsin,39
Indiana,37
New Mexico,33
Kansas,29
Washington,26
Louisiana,25
Oklahoma,24
New Jersey,23
Massachusetts,20
Illinois,19
Michigan,18
Alabama,18
Arizona,17
Oregon,16
Pennsylvania,16
Colorado,15
Minnesota,15
California,14
Ohio,13
New York,12
Florida,10
Missouri,10
District of Columbia,7
Georgia,4
Texas,4
Alaska,
Nevada,
New Hampshire,
Nebraska,
North Carolina,
Montana,
Mississippi,
Maine,
South Dakota,
Tennessee,
Maryland,
Utah,
Virginia,
Iowa,
Hawaii,
Delaware,
Connecticut,
Wyoming,
