Category: All categories

Region,Self harm: (2014)
Maine,100
West Virginia,90
Indiana,87
Arkansas,84
Wyoming,82
New Hampshire,80
New Mexico,80
South Dakota,77
Rhode Island,77
North Dakota,77
Wisconsin,76
Kentucky,70
Utah,70
Iowa,70
Idaho,70
Ohio,69
Pennsylvania,68
Michigan,68
Delaware,67
Missouri,67
Nebraska,65
Nevada,63
Vermont,63
Kansas,63
Minnesota,62
Alabama,61
Colorado,61
Montana,61
North Carolina,61
Tennessee,60
Massachusetts,60
Arizona,60
Connecticut,59
Illinois,58
South Carolina,57
Washington,56
Alaska,56
Mississippi,55
Louisiana,54
New Jersey,53
Oklahoma,52
Texas,48
Georgia,48
Maryland,46
Florida,45
New York,43
California,40
Oregon,38
Virginia,38
Hawaii,32
District of Columbia,28
