Category: All categories

Region,Self harm: (2017)
South Dakota,100
West Virginia,91
Vermont,89
Montana,88
Alaska,88
Kentucky,87
Utah,85
Idaho,84
Maine,83
Wyoming,77
Iowa,75
New Hampshire,75
New Mexico,74
Missouri,74
Oklahoma,72
Wisconsin,71
North Dakota,71
Ohio,68
Kansas,68
Indiana,67
Colorado,67
Arkansas,66
Minnesota,66
Nebraska,64
Oregon,62
Pennsylvania,62
Tennessee,61
Michigan,60
Nevada,60
Connecticut,59
Washington,59
Arizona,58
Virginia,58
Massachusetts,57
South Carolina,57
Rhode Island,56
Illinois,55
North Carolina,52
Delaware,52
Alabama,51
Maryland,51
New Jersey,48
Hawaii,48
Louisiana,46
New York,46
Mississippi,45
Georgia,45
Texas,45
California,43
Florida,41
District of Columbia,40
