Category: All categories

Region,Self harm: (2005)
Alaska,100
South Dakota,92
Iowa,83
Kentucky,62
Maine,47
Rhode Island,45
Nevada,38
Colorado,38
Oregon,36
Wisconsin,35
South Carolina,26
Minnesota,24
Ohio,22
Maryland,22
Arizona,21
Pennsylvania,21
Connecticut,19
Michigan,17
Missouri,16
Illinois,14
Virginia,14
Washington,14
Texas,14
New Jersey,13
Georgia,11
New York,9
Florida,8
California,8
Massachusetts,6
Mississippi,
New Hampshire,
Nebraska,
New Mexico,
North Dakota,
North Carolina,
Montana,
Oklahoma,
Louisiana,
Kansas,
Indiana,
Idaho,
Hawaii,
Tennessee,
Delaware,
Utah,
District of Columbia,
Vermont,
Arkansas,
Alabama,
West Virginia,
Wyoming,
