Category: All categories

Region,kill myself: (2020)
Utah,100
New Mexico,94
West Virginia,94
Oregon,92
Kansas,92
Colorado,91
Alaska,90
Hawaii,88
Idaho,88
New Hampshire,87
Indiana,86
Minnesota,85
Nevada,85
Pennsylvania,84
Rhode Island,84
Oklahoma,84
Arkansas,83
Kentucky,83
Missouri,81
Tennessee,81
Washington,81
Ohio,80
Michigan,80
South Dakota,79
Montana,78
Connecticut,78
Arizona,77
North Dakota,77
Massachusetts,76
Virginia,76
Illinois,74
Georgia,73
Louisiana,72
Delaware,72
Texas,71
Nebraska,71
North Carolina,71
California,69
Iowa,68
Maryland,68
Mississippi,68
New Jersey,68
New York,67
Wisconsin,65
Alabama,64
Florida,64
South Carolina,62
Maine,57
District of Columbia,42
Wyoming,
Vermont,
