Category: All categories

Region,kill myself: (2021)
Oregon,100
Idaho,59
West Virginia,56
Washington,56
New Mexico,56
Kansas,55
South Dakota,53
Colorado,52
Maine,51
Arkansas,51
Oklahoma,50
Nevada,49
Alaska,49
Utah,48
Michigan,48
New Hampshire,48
Nebraska,47
Kentucky,46
Montana,46
Ohio,45
Pennsylvania,45
Arizona,44
Wisconsin,44
Indiana,43
Illinois,43
Virginia,42
Connecticut,42
Maryland,41
Missouri,41
Minnesota,41
Massachusetts,41
North Carolina,41
Georgia,40
Rhode Island,40
Iowa,40
Delaware,40
Alabama,39
California,39
Tennessee,39
District of Columbia,39
New Jersey,39
Texas,37
South Carolina,37
Florida,36
Louisiana,36
New York,33
Mississippi,33
North Dakota,27
Hawaii,24
Vermont,
Wyoming,
