Category: All categories

Region,kill myself: (2018)
West Virginia,100
Utah,100
Rhode Island,92
Iowa,92
New Hampshire,92
South Dakota,91
Nebraska,91
Maine,90
New Mexico,90
Nevada,89
Kentucky,88
Alaska,88
Colorado,87
Oregon,85
Arkansas,84
Idaho,83
Arizona,82
Indiana,81
Pennsylvania,80
Missouri,80
Minnesota,80
North Dakota,80
Oklahoma,77
Delaware,76
Virginia,76
Michigan,76
Washington,76
Tennessee,75
Ohio,75
Hawaii,74
Kansas,74
Massachusetts,74
Maryland,74
Wisconsin,73
Connecticut,72
Montana,68
Georgia,67
Illinois,67
Texas,66
New York,66
New Jersey,65
North Carolina,65
South Carolina,63
California,61
Louisiana,60
Alabama,60
Mississippi,59
Florida,59
District of Columbia,41
Wyoming,
Vermont,
