Category: All categories

Region,Coping with stress: (2010)
Nebraska,100
West Virginia,86
Connecticut,64
Iowa,57
Louisiana,56
Arizona,53
Oregon,51
Arkansas,48
Kansas,47
Missouri,46
Utah,42
Indiana,41
North Carolina,38
Wisconsin,37
Pennsylvania,36
Tennessee,36
Mississippi,34
Illinois,33
Kentucky,32
Georgia,31
Minnesota,31
Florida,30
Colorado,27
Michigan,26
New York,25
Ohio,23
New Jersey,22
Oklahoma,22
Massachusetts,22
South Carolina,20
Washington,19
Texas,17
Virginia,13
California,11
Montana,
Idaho,
Rhode Island,
District of Columbia,
Alaska,
Nevada,
New Mexico,
South Dakota,
New Hampshire,
North Dakota,
Maine,
Maryland,
Vermont,
Hawaii,
Delaware,
Alabama,
Wyoming,
