Category: All categories

Region,Coping with stress: (2017)
New Mexico,100
Missouri,62
Utah,58
North Carolina,57
Mississippi,57
Minnesota,57
Georgia,53
Maryland,53
Connecticut,53
Arizona,51
Oklahoma,50
Michigan,50
Colorado,49
Alabama,45
Pennsylvania,45
Oregon,44
Kansas,44
Louisiana,43
Illinois,43
Ohio,42
Florida,40
Indiana,40
Virginia,39
New Jersey,38
Nebraska,37
Tennessee,37
Texas,37
California,36
Nevada,36
Kentucky,36
Wisconsin,35
New York,32
West Virginia,32
Arkansas,28
Massachusetts,26
Washington,24
South Carolina,22
Iowa,21
Wyoming,
Idaho,
South Dakota,
New Hampshire,
Delaware,
Montana,
District of Columbia,
Maine,
Hawaii,
North Dakota,
Rhode Island,
Vermont,
Alaska,
