Category: All categories

Region,Coping with stress: (2014)
Arkansas,100
Nebraska,94
New Mexico,93
Wisconsin,81
Maryland,80
North Carolina,68
Michigan,65
South Carolina,64
Iowa,62
Kentucky,58
Pennsylvania,56
Connecticut,55
New Jersey,54
Oklahoma,54
Massachusetts,54
Georgia,53
Kansas,52
Missouri,52
California,51
Florida,49
Mississippi,47
Illinois,47
Tennessee,46
Minnesota,46
New York,45
Utah,44
Ohio,41
Alabama,40
Colorado,40
Virginia,39
Arizona,39
Indiana,38
Washington,38
Oregon,31
Texas,30
Louisiana,19
Nevada,18
Wyoming,
Hawaii,
Idaho,
South Dakota,
Maine,
Montana,
Delaware,
District of Columbia,
North Dakota,
New Hampshire,
Rhode Island,
Vermont,
West Virginia,
Alaska,
