Category: All categories

Region,Coping with stress: (2012)
Mississippi,100
West Virginia,71
Alabama,61
Iowa,56
Indiana,53
Utah,46
Michigan,45
Wisconsin,40
Virginia,39
Nebraska,38
Arkansas,38
North Carolina,38
Tennessee,37
Ohio,36
Connecticut,36
Washington,32
Kansas,30
Illinois,30
Louisiana,30
Oregon,30
South Carolina,29
Massachusetts,29
Nevada,29
Arizona,28
New Jersey,27
New York,27
Texas,26
Georgia,26
California,25
Pennsylvania,24
Florida,23
New Mexico,22
Kentucky,21
Minnesota,21
Missouri,20
Maryland,15
Colorado,10
Delaware,
Maine,
Hawaii,
Rhode Island,
New Hampshire,
Alaska,
Idaho,
District of Columbia,
Oklahoma,
South Dakota,
North Dakota,
Montana,
Vermont,
Wyoming,
