Category: All categories

Region,Obsessive compulsive: (2013)
Maine,100
New Mexico,94
Vermont,
Alaska,
Delaware,84
Idaho,80
New Jersey,77
Wisconsin,77
Iowa,76
Kentucky,72
Kansas,71
Connecticut,71
South Dakota,
Pennsylvania,69
New York,67
Ohio,67
Rhode Island,65
Oklahoma,65
Massachusetts,64
Hawaii,
South Carolina,63
Alabama,63
Maryland,62
Montana,
West Virginia,62
Arkansas,62
Louisiana,61
Indiana,61
New Hampshire,60
Utah,60
Missouri,60
Arizona,59
North Carolina,57
California,56
Minnesota,56
Colorado,56
Georgia,55
Tennessee,55
Illinois,54
District of Columbia,
Virginia,54
Nebraska,54
Michigan,53
North Dakota,
Oregon,51
Washington,50
Florida,47
Nevada,47
Texas,46
Mississippi,46
Wyoming,
