Category: All categories

Region,Obsessive compulsive: (2018)
Wyoming,
South Dakota,
Oregon,100
Alaska,
New Hampshire,97
Maine,95
Connecticut,93
Maryland,93
New Mexico,93
Oklahoma,91
Arkansas,91
Delaware,88
Utah,88
Indiana,86
Wisconsin,86
Kansas,86
District of Columbia,
Iowa,86
Pennsylvania,84
Rhode Island,84
Michigan,84
West Virginia,84
Virginia,82
Ohio,82
Missouri,80
Massachusetts,80
New York,80
Illinois,77
Louisiana,77
New Jersey,77
North Carolina,77
Mississippi,75
Minnesota,75
Tennessee,75
Nevada,75
Alabama,75
Kentucky,73
Washington,73
Arizona,73
Nebraska,73
Montana,
South Carolina,71
Colorado,68
California,66
Georgia,66
Florida,62
Idaho,60
Texas,57
North Dakota,
Vermont,
Hawaii,
