Category: All categories

Region,Obsessive compulsive: (2008)
Montana,
Wyoming,
Vermont,
Iowa,100
Kentucky,87
Nebraska,82
Mississippi,73
West Virginia,72
Delaware,71
Wisconsin,69
Idaho,69
Indiana,69
Pennsylvania,69
Michigan,68
Maine,65
Oregon,65
Rhode Island,63
Louisiana,62
Minnesota,61
Ohio,60
Arkansas,60
Alabama,58
Connecticut,57
Kansas,57
Massachusetts,55
Washington,55
Oklahoma,53
Colorado,53
North Carolina,52
New Hampshire,52
Missouri,50
New Jersey,50
Alaska,
Illinois,49
Maryland,49
South Dakota,
New York,47
Georgia,47
Nevada,45
Texas,45
North Dakota,
Arizona,43
Tennessee,42
District of Columbia,
South Carolina,42
Florida,41
Hawaii,
California,37
Virginia,36
New Mexico,33
Utah,29
