Category: All categories

Region,Obsessive compulsive: (2012)
North Dakota,
Vermont,
Nebraska,100
Maine,96
Indiana,88
Idaho,86
Mississippi,85
Delaware,84
Rhode Island,83
Kansas,82
Kentucky,81
Arkansas,81
New Mexico,81
West Virginia,80
Maryland,78
New Hampshire,77
Ohio,77
Oregon,77
Minnesota,77
Iowa,77
Alaska,
Wisconsin,76
Utah,76
South Carolina,75
New Jersey,74
Pennsylvania,73
Virginia,72
Connecticut,71
Wyoming,
Arizona,70
New York,70
Massachusetts,67
Washington,66
Alabama,66
Nevada,65
Michigan,64
Oklahoma,63
Montana,
Tennessee,63
Illinois,62
Louisiana,61
North Carolina,60
Missouri,60
Florida,58
California,57
Colorado,56
Georgia,51
Texas,50
South Dakota,
District of Columbia,
Hawaii,
