Category: All categories

Region,Obsessive compulsive: (2015)
Mississippi,100
West Virginia,95
North Dakota,
Maine,92
Iowa,86
New Jersey,83
Rhode Island,83
South Dakota,
Arizona,79
Maryland,79
Minnesota,79
Ohio,79
Indiana,79
Massachusetts,77
Pennsylvania,77
Idaho,77
Nebraska,74
Illinois,71
Utah,71
Vermont,
Wisconsin,68
Oklahoma,68
North Carolina,68
New Hampshire,68
Alabama,67
Arkansas,67
Connecticut,65
Washington,65
Tennessee,64
Nevada,64
New York,64
Kentucky,64
Florida,61
Colorado,61
Hawaii,
California,58
Michigan,58
Alaska,
Oregon,58
Georgia,56
Missouri,55
Kansas,55
New Mexico,55
Texas,55
Louisiana,53
South Carolina,52
District of Columbia,
Wyoming,
Montana,
Virginia,43
Delaware,41
