Category: All categories

Region,Obsessive compulsive: (2011)
Vermont,
Idaho,100
North Dakota,
New Hampshire,82
Oklahoma,82
Indiana,81
Pennsylvania,80
Maine,79
Louisiana,77
Kentucky,77
Tennessee,74
Michigan,73
Massachusetts,73
Wisconsin,72
Alabama,72
Maryland,72
Alaska,
Mississippi,70
Kansas,70
New Jersey,70
Ohio,69
West Virginia,69
Hawaii,
South Carolina,67
Virginia,67
Nevada,66
Minnesota,66
Connecticut,65
Utah,65
Rhode Island,64
Oregon,64
Illinois,63
Iowa,63
Arkansas,61
Missouri,60
North Carolina,60
Arizona,58
Washington,57
New York,53
Wyoming,
Delaware,53
Florida,53
California,52
Nebraska,52
District of Columbia,
Colorado,50
Georgia,48
New Mexico,48
Montana,
Texas,46
South Dakota,
