Category: All categories

Region,Obsessive compulsive: (2007)
Wyoming,
Montana,
New Hampshire,100
Rhode Island,88
Oklahoma,87
South Dakota,
Tennessee,87
North Dakota,
Pennsylvania,83
Kentucky,82
Arkansas,82
Ohio,78
Louisiana,76
Kansas,75
Missouri,74
Michigan,74
Wisconsin,74
Mississippi,73
Idaho,73
South Carolina,71
Minnesota,69
Indiana,69
Illinois,68
North Carolina,67
Oregon,67
Alabama,66
Maryland,66
West Virginia,66
Hawaii,
New Mexico,63
Georgia,63
New Jersey,62
Utah,62
Texas,58
Massachusetts,58
Washington,58
Colorado,57
Nevada,56
Arizona,55
New York,55
Nebraska,54
Virginia,53
Iowa,52
Florida,52
Connecticut,50
California,48
Alaska,
Maine,44
District of Columbia,
Vermont,
Delaware,25
