Category: All categories

Region,bipolar: (2016)
Maine,100
West Virginia,97
New Hampshire,96
Pennsylvania,95
Mississippi,93
Rhode Island,90
Vermont,90
Connecticut,90
Arkansas,90
Tennessee,89
Maryland,89
Missouri,88
Michigan,88
California,87
Georgia,87
Wisconsin,87
Montana,86
New Mexico,86
Delaware,86
Massachusetts,85
Ohio,85
Indiana,84
Kentucky,84
North Carolina,84
Arizona,83
New York,83
New Jersey,83
Virginia,82
Alabama,82
Idaho,82
Washington,82
South Dakota,81
Louisiana,79
Wyoming,79
Colorado,79
Florida,79
Oklahoma,79
Nebraska,78
Illinois,78
Texas,77
South Carolina,77
Oregon,76
Alaska,76
Iowa,75
North Dakota,74
Minnesota,73
Utah,73
Kansas,71
Nevada,67
District of Columbia,67
Hawaii,67
