Category: All categories

Region,bipolar: (2010)
Montana,100
New Mexico,90
Maine,90
Tennessee,90
West Virginia,89
Connecticut,89
Arkansas,89
New Hampshire,89
South Carolina,87
Louisiana,87
Mississippi,86
Iowa,85
Rhode Island,84
Kansas,84
Nebraska,84
Kentucky,83
Alabama,83
Wyoming,82
Idaho,82
Indiana,81
Vermont,81
Oklahoma,81
Delaware,79
Maryland,79
Wisconsin,79
Missouri,78
South Dakota,78
North Carolina,77
North Dakota,76
Michigan,75
Pennsylvania,75
Arizona,74
Colorado,73
Utah,73
Minnesota,72
Texas,72
Massachusetts,71
Nevada,71
Alaska,70
Oregon,70
Ohio,69
Florida,69
New York,69
Washington,67
Virginia,65
Illinois,65
New Jersey,64
Georgia,64
District of Columbia,63
California,60
Hawaii,58
