Category: All categories

Region,bipolar: (2014)
West Virginia,100
Mississippi,93
Arkansas,91
Pennsylvania,90
Maine,90
North Carolina,89
South Dakota,89
Massachusetts,88
New Hampshire,87
Delaware,86
Rhode Island,85
Michigan,85
Wyoming,84
Wisconsin,84
Tennessee,84
Illinois,84
Ohio,83
Vermont,82
New Jersey,82
New York,82
Missouri,82
Florida,81
Kentucky,81
Georgia,81
Washington,80
North Dakota,80
Montana,80
Alabama,79
Nebraska,79
Idaho,79
Iowa,78
Colorado,78
Connecticut,76
Minnesota,76
New Mexico,76
Louisiana,76
South Carolina,75
Utah,74
Indiana,74
Maryland,73
Arizona,73
Texas,73
Kansas,72
Oklahoma,71
Alaska,71
California,71
Nevada,69
Hawaii,67
District of Columbia,66
Virginia,66
Oregon,50
