Category: All categories

Region,tylenol: (2005)
Mississippi,100
West Virginia,94
New Mexico,88
Vermont,86
Nebraska,84
North Dakota,83
Wyoming,76
Pennsylvania,76
Iowa,72
Oklahoma,72
New Jersey,71
Louisiana,71
Rhode Island,69
Tennessee,69
Kentucky,69
Arkansas,68
Connecticut,67
South Dakota,67
Hawaii,67
North Carolina,67
Idaho,66
Arizona,66
Ohio,66
Texas,66
Massachusetts,65
South Carolina,65
Maryland,65
Utah,65
Indiana,65
Delaware,64
Illinois,64
Missouri,64
Wisconsin,64
Michigan,62
Minnesota,62
Alabama,61
Washington,61
Florida,60
Virginia,60
Oregon,60
New York,59
Georgia,58
Colorado,57
District of Columbia,54
Kansas,53
California,50
New Hampshire,45
Montana,42
Alaska,41
Maine,41
Nevada,36
