Category: All categories

Region,tylenol: (2011)
West Virginia,100
Kentucky,96
North Dakota,89
New York,89
South Dakota,88
Mississippi,88
Iowa,87
Pennsylvania,86
South Carolina,85
Maine,85
Nebraska,84
Alabama,84
Arkansas,84
Louisiana,84
Hawaii,83
Texas,82
New Jersey,82
Michigan,81
Massachusetts,81
Missouri,81
Ohio,81
Georgia,81
Delaware,81
District of Columbia,80
Illinois,80
Oklahoma,79
New Hampshire,79
Indiana,79
Florida,79
Alaska,78
Tennessee,77
Vermont,76
Rhode Island,75
Montana,75
Maryland,74
Kansas,74
Idaho,73
California,73
Utah,73
Connecticut,72
Virginia,72
Washington,72
Oregon,72
Wisconsin,72
Arizona,71
Minnesota,71
North Carolina,69
Nevada,69
Wyoming,65
New Mexico,65
Colorado,64
