Category: All categories

Region,tylenol: (2006)
Delaware,100
Maine,95
Mississippi,93
Rhode Island,90
Kentucky,87
South Dakota,87
Maryland,84
Alabama,84
Arkansas,82
North Carolina,81
New Hampshire,81
Pennsylvania,81
Michigan,80
Kansas,78
Indiana,78
Minnesota,77
Louisiana,77
Connecticut,75
New Jersey,75
Missouri,74
Texas,73
South Carolina,73
New York,73
Ohio,73
Massachusetts,72
Nebraska,72
Oregon,71
West Virginia,71
District of Columbia,70
Wisconsin,70
Georgia,69
Hawaii,68
Washington,68
Colorado,68
Alaska,67
Tennessee,67
Illinois,67
Virginia,67
Oklahoma,66
Wyoming,66
Montana,66
Utah,66
New Mexico,65
Iowa,65
Arizona,63
Vermont,63
Florida,61
Idaho,59
California,58
Nevada,56
North Dakota,26
