Category: All categories

Region,tylenol: (2013)
Michigan,100
Mississippi,98
West Virginia,97
Georgia,94
Minnesota,92
South Dakota,92
Arkansas,91
Oklahoma,89
Kentucky,89
Tennessee,88
North Dakota,88
Vermont,87
New Jersey,86
Texas,86
Nebraska,86
Washington,85
Louisiana,85
Massachusetts,85
Pennsylvania,85
Alabama,84
Delaware,84
Ohio,84
Illinois,84
New York,83
Alaska,83
Iowa,83
Maryland,83
Rhode Island,83
Virginia,82
Florida,82
North Carolina,82
Missouri,82
Kansas,82
Wyoming,81
Idaho,81
District of Columbia,80
Montana,80
South Carolina,79
New Hampshire,79
New Mexico,79
Utah,79
Maine,78
Arizona,78
Indiana,77
Hawaii,75
Connecticut,73
California,73
Nevada,72
Wisconsin,72
Colorado,66
Oregon,45
